Symbol,ETF
AAXJ,Y
ACTX,Y
ACWI,Y
ACWX,Y
ADRA,Y
ADRD,Y
ADRE,Y
ADRU,Y
AGND,Y
AGZD,Y
AIA,Y
AIRR,Y
ALTY,Y
ASET,Y
BBC,Y
BBH,Y
BBP,Y
BFIT,Y
BIB,Y
BICK,Y
BIS,Y
BMLA,Y
BNDX,Y
BOTZ,Y
BTEC,Y
CAPX,Y
CARZ,Y
CATH,Y
CDC,Y
CDL,Y
CEZ,Y
CFA,Y
CFO,Y
CIBR,Y
CID,Y
CIL,Y
CIZ,Y
CNCR,Y
COMT,Y
CRDT,Y
CSA,Y
CSB,Y
CSF,Y
CXSE,Y
DAX,Y
DDBI,Y
DFVL,N
DFVS,N
DGLD,N
DGRE,Y
DGRS,Y
DGRW,Y
DLBL,N
DLBS,N
DSLV,N
DTUL,N
DTUS,N
DTYL,N
DTYS,N
DWAC,Y
DWAQ,Y
DWAS,Y
DWAT,Y
DWFI,Y
DWIN,Y
DWLV,Y
DWTR,Y
DXGE,Y
DXJS,Y
DXKW,Y
DXPS,Y
EDBI,Y
EEMA,Y
EFAS,Y
EMCB,Y
EMCG,Y
EMIF,Y
ENZL,Y
ESG,Y
ESGD,Y
ESGE,Y
ESGG,Y
ESGU,Y
EUFN,Y
EWZS,Y
FAAR,Y
FAB,Y
FAD,Y
FALN,Y
FBZ,Y
FCA,Y
FCAN,Y
FCEF,Y
FCVT,Y
FDIV,Y
FDT,Y
FDTS,Y
FEM,Y
FEMB,Y
FEMS,Y
FEP,Y
FEUZ,Y
FEX,Y
FGM,Y
FHK,Y
FINQ,Y
FINX,Y
FITS,Y
FJP,Y
FKO,Y
FKU,Y
FLAG,Y
FLAT,N
FLN,Y
FMB,Y
FMK,Y
FNK,Y
FNX,Y
FNY,Y
FONE,Y
FPA,Y
FPXI,Y
FSZ,Y
FTA,Y
FTAG,Y
FTC,Y
FTCS,Y
FTGC,Y
FTHI,Y
FTLB,Y
FTRI,Y
FTSL,Y
FTSM,Y
FTW,Y
FTXD,Y
FTXG,Y
FTXH,Y
FTXL,Y
FTXN,Y
FTXO,Y
FTXR,Y
FV,Y
FVC,Y
FYC,Y
FYT,Y
FYX,Y
GENY,Y
GNMA,Y
GNRX,Y
GRID,Y
GULF,Y
HYLS,Y
HYND,Y
HYXE,Y
HYZD,Y
IBB,Y
IBUY,Y
ICLN,Y
IDLB,Y
IEUS,Y
IFEU,Y
IFGL,Y
IFV,Y
IGF,Y
IGOV,Y
IMED,Y
INDY,Y
INFR,Y
IPKW,Y
ISHG,Y
ITEQ,Y
IXUS,Y
JKI,Y
JSMD,Y
JSML,Y
KBWB,Y
KBWD,Y
KBWP,Y
KBWR,Y
KBWY,Y
KRMA,Y
KWEB,Y
LALT,Y
LDRI,Y
LKOR,Y
LMBS,Y
LNGR,Y
LVHD,Y
MAUI,Y
MBSD,Y
MCEF,Y
MCHI,Y
MDIV,Y
MILN,Y
MPCT,Y
OLD,Y
ONEQ,Y
ORG,Y
PAGG,Y
PDBC,Y
PDP,Y
PEY,Y
PEZ,Y
PFI,Y
PFM,Y
PGJ,Y
PHO,Y
PID,Y
PIE,Y
